Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,DEFAULT
11900,60,0.2921,28000.0,672,Debt Consolidation,RENT,MD,Driver/Transportation,2019,4,0
35000,36,17.85,120000.0,660,home_improvement,mortgage,CA,Small Business,2019,9 years,0
20000,60,0.1988,100000.0,732,Debt Consolidation,MORTGAGE,NC,Office,2019,4,1
35000,60,0.1483,172000.0,692,Home Improvement,MORTGAGE,MN,Office,2019,21,0
8000,36,0.1423,70000.0,687,Debt Consolidation,RENT,NY,Education,2018,10,0
9600,36,0.3297,48000.0,692,Debt Consolidation,RENT,NJ,Office,2019,2,1
4800,36,0.3319,101000.0,707,Other,MORTGAGE,ID,Others,2018,9,0
11000,36,0.3479,74000.0,777,Home Improvement,MORTGAGE,FL,IT/Engineering,2019,6,0
8500,36,0.2865,57000.0,712,Debt Consolidation,MORTGAGE,TX,Office,2018,10,0
2000,36,0.0821,75000.0,662,Debt Consolidation,MORTGAGE,NJ,Office,2019,8,0
35000,60,0.2175,70000.0,702,Debt Consolidation,MORTGAGE,TX,Legal/Government/Police,2019,10,0
6000,36,0.1197,38000.0,667,Debt Consolidation,OWN,TX,Skilled Labor,2019,0,1
21275,36,0.281,60000.0,687,Credit Card Refinancing,RENT,FL,Office,2019,10,1
16000,60,0.3701,60000.0,697,Debt Consolidation,MORTGAGE,FL,Education,2019,12,0
35000,60,0.1058,85000.0,687,Debt Consolidation,RENT,KY,,2020,,0
35000,36,0.0818,205288.0,712,Debt Consolidation,RENT,NM,,2019,< 1 year,1
10000,60,14.78,35000.0,685,credit_card,rent,CA,Driver/Transportation,2019,7 years,0
40000,60,0.0821,148000.0,827,Business,MORTGAGE,NY,IT/Engineering,2020,8,1
20000,36,0.052000000000000005,96000.0,702,Medical Expenses,MORTGAGE,UT,Others,2018,10,0
20000,60,0.3361,82000.0,712,Debt Consolidation,MORTGAGE,OH,Education,2019,3,0
10000,60,0.1164,23000.0,667,Debt Consolidation,RENT,IL,Office,2019,10,0
10000,60,0.2121,34000.0,722,Debt Consolidation,OWN,PA,Customer Service,2020,3,0
10625,60,0.3031,69000.0,682,Debt Consolidation,RENT,IN,Others,2019,16,0
38275,36,0.1829,100000.0,707,Home Improvement,MORTGAGE,CO,Sales,2019,10,0
13675,60,0.2661,16188.0,692,Credit Card Refinancing,RENT,MI,,2019,,0
10000,36,0.18,35000.0,662,Debt Consolidation,RENT,MO,Skilled Labor,2019,3,0
12000,36,8.35,125000.0,670,home_improvement,mortgage,GA,IT/Engineering,2019,10+ years,0
4200,36,0.2247,33280.0,727,Debt Consolidation,MORTGAGE,OH,Office,2018,2,0
25000,60,0.2677,64500.0,687,Debt Consolidation,RENT,NE,Office,2019,3,0
13450,60,0.2808,40000.0,692,Credit Card Refinancing,RENT,KY,Unknown,2019,23,0
27000,60,0.2047,54000.0,712,Debt Consolidation,RENT,CA,Health care,2019,15,0
10000,36,0.1433,70000.0,692,Credit Card Refinancing,MORTGAGE,CA,,2019,1,0
16000,36,13.81,100000.0,645,debt_consolidation,mortgage,WI,Office,2019,< 1 year,0
2500,36,0.3669,45000.0,677,Debt Consolidation,RENT,CA,Driver/Transportation,2019,10,1
6050,36,0.1301,27000.0,692,Credit Card Refinancing,RENT,CA,Food/Hospitality,2018,1,1
10625,36,0.312,78000.0,692,Home Improvement,OWN,VA,Skilled Labor,2019,9,0
23250,60,0.2728,60000.0,682,Other,MORTGAGE,MO,Others,2019,5,0
15000,60,0.2101,49462.0,672,Debt Consolidation,MORTGAGE,NE,Office,2018,5,0
5400,36,0.0422,62000.0,732,Debt Consolidation,RENT,OH,Skilled Labor,2018,6,1
15000,36,0.0457,129996.0,677,Vehicle Purchase,OWN,NC,,2018,,0
20000,60,0.1358,95000.0,672,Other,MORTGAGE,MI,Driver/Transportation,2019,11,0
15000,36,0.0571,130000.0,672,Credit Card Refinancing,RENT,NY,Others,2019,15,0
16000,60,8.66,88000.0,690,debt_consolidation,mortgage,IN,Skilled Labor,2019,8 years,0
10625,36,0.278,50000.0,682,Debt Consolidation,MORTGAGE,TX,Construction/Labor,2019,3,0
5000,36,14.03,209000.0,650,credit_card,rent,MI,,2020,< 1 year,1
15950,60,0.2245,100000.0,752,Credit Card Refinancing,OWN,SC,Health care,2020,0,0
16000,60,0.3553,48000.0,707,Credit Card Refinancing,RENT,OR,Others,2019,10,0
10800,60,0.2393,72000.0,737,Home Improvement,ANY,IN,Office,2019,3,0
35000,60,0.0667,178000.0,732,Home Improvement,RENT,AR,Office,2019,0,0
31900,60,0.2558,95144.0,667,Debt Consolidation,RENT,NJ,Office,2019,17,0
20000,36,0.1132,60000.0,677,Debt Consolidation,RENT,CT,Skilled Labor,2019,2,0
22325,36,0.2495,60400.0,687,Home Improvement,MORTGAGE,IL,Office,2019,2,0
6000,36,0.1569,90000.0,662,Debt Consolidation,RENT,MD,Office,2019,7,0
21000,60,0.2975,52000.0,662,Debt Consolidation,MORTGAGE,FL,Health care,2018,1,0
14875,60,0.3613,50000.0,682,Credit Card Refinancing,RENT,CA,,2019,14,0
9000,36,0.1911,59604.0,677,Credit Card Refinancing,MORTGAGE,NY,Office,2019,0,0
10000,36,0.1857,70000.0,667,Debt Consolidation,RENT,CA,,2020,< 1 year,0
8000,36,0.0309,80000.0,662,Other,MORTGAGE,KY,Small Business,2018,1,0
15000,36,27.96,63000.0,775,debt_consolidation,rent,IN,Office,2018,< 1 year,0
11700,60,0.3455,38000.0,702,Debt Consolidation,MORTGAGE,AZ,Office,2019,12,0
30000,36,20.06,75000.0,630,debt_consolidation,mortgage,CA,Small Business,2018,7 years,0
15950,36,0.2215,73000.0,682,Debt Consolidation,RENT,FL,Driver/Transportation,2019,2,1
38000,36,0.195,223000.0,717,Debt Consolidation,RENT,GA,Small Business,2020,5,1
16000,36,0.2818,106000.0,697,Debt Consolidation,MORTGAGE,AL,Others,2019,3,0
15000,60,0.2126,70000.0,677,Debt Consolidation,MORTGAGE,MA,Office,2018,0,0
31000,60,10.49,250000.0,755,home_improvement,mortgage,FL,Others,2019,10+ years,0
18925,36,0.1559,145000.0,702,Debt Consolidation,MORTGAGE,MD,Office,2020,10,0
10000,60,0.2005,44000.0,707,Debt Consolidation,MORTGAGE,CA,Health care,2019,11,0
16000,60,0.14400000000000002,35000.0,682,Debt Consolidation,MORTGAGE,LA,Others,2019,10,0
1000,36,0.2239,32000.0,727,Vacation,RENT,CA,Skilled Labor,2019,10,0
3025,36,0.0411,24480.0,702,Debt Consolidation,MORTGAGE,GA,Construction/Labor,2020,3,0
10000,60,0.0837,92000.0,672,Vacation,RENT,CA,Others,2019,4 years,0
14000,60,0.1375,89000.0,707,Credit Card Refinancing,MORTGAGE,FL,Office,2019,2,0
15000,36,0.2487,40000.0,717,Credit Card Refinancing,RENT,IL,Driver/Transportation,2018,10,0
20000,36,0.2502,140000.0,717,Credit Card Refinancing,MORTGAGE,MO,Office,2019,0,0
15000,36,24.98,70000.0,725,debt_consolidation,mortgage,TX,Education,2019,10+ years,0
6000,36,0.2097,26000.0,672,Debt Consolidation,RENT,FL,Driver/Transportation,2019,13,0
30000,36,0.2239,89000.0,687,Debt Consolidation,RENT,TX,Skilled Labor,2019,3,0
27700,36,26.73,36000.0,720,debt_consolidation,rent,CA,Skilled Labor,2018,10+ years,1
24000,60,0.1347,80000.0,662,Debt Consolidation,MORTGAGE,IL,Education,2019,13,0
40000,60,0.1802,55000.0,747,Debt Consolidation,RENT,FL,Sales,2019,6,0
20000,36,0.1536,120000.0,672,Credit Card Refinancing,RENT,CA,,2019,3,1
20000,60,0.2733,63000.0,682,Debt Consolidation,OWN,MD,Office,2020,4,0
4000,36,0.1483,89000.0,717,Debt Consolidation,OWN,GA,IT/Engineering,2018,10,0
8000,36,0.1808,60000.0,667,Debt Consolidation,RENT,VA,Office,2018,3,0
22000,60,0.2579,105000.0,707,Home Improvement,MORTGAGE,NY,Office,2019,27,1
20000,36,0.0377,100000.0,667,Home Purchase,MORTGAGE,TX,Health care,2018,10,0
18000,60,29.04,150000.0,685,debt_consolidation,mortgage,TN,IT/Engineering,2020,2 years,0
25000,60,0.203,104300.0,672,Debt Consolidation,MORTGAGE,FL,Office,2019,1,1
15000,36,0.1757,50000.0,692,Debt Consolidation,RENT,OH,,2019,< 1 year,0
11000,60,18.41,81000.0,720,debt_consolidation,mortgage,GA,,2019,,0
11050,60,8.16,65000.0,690,debt_consolidation,rent,NV,Driver/Transportation,2019,1 year,0
37000,36,13.12,158000.0,710,debt_consolidation,mortgage,NJ,Others,2020,< 1 year,0
14275,60,0.3272,34000.0,682,Debt Consolidation,OWN,IL,Office,2019,5,0
10000,60,9.1,48000.0,655,credit_card,rent,GA,IT/Engineering,2019,< 1 year,0
24000,36,0.258,110000.0,707,Debt Consolidation,MORTGAGE,AR,Skilled Labor,2019,4,0
40000,36,0.21,200000.0,722,Debt Consolidation,RENT,CA,Office,2019,5,0
7200,36,0.2736,60000.0,697,Debt Consolidation,RENT,MN,Construction/Labor,2019,7,0
21275,36,0.1817,90000.0,672,Debt Consolidation,OWN,NY,Others,2020,4,0
30000,60,0.1737,75000.0,672,Debt Consolidation,RENT,PA,Office,2020,4,0
2000,36,0.3064,45000.0,772,Other Major Purchase,RENT,TX,Skilled Labor,2019,1,0
15000,36,0.168,80000.0,662,Debt Consolidation,RENT,CA,,2019,< 1 year,0
30000,36,0.45,80000.0,695,debt_consolidation,own,VA,,2019,,0
16000,60,0.0916,118000.0,702,Home Improvement,MORTGAGE,MI,Office,2019,27,0
27000,60,0.1266,55000.0,692,Debt Consolidation,MORTGAGE,MD,Health care,2019,3,0
5300,36,15.27,50000.0,670,debt_consolidation,rent,GA,Legal/Government/Police,2019,10+ years,1
19500,60,0.1867,56000.0,717,Debt Consolidation,MORTGAGE,MO,Office,2018,10,0
26575,60,0.1039,180000.0,702,Credit Card Refinancing,OWN,FL,Skilled Labor,2019,11,0
25000,36,0.2178,135000.0,672,Debt Consolidation,OWN,MA,Others,2018,15,0
6025,36,0.1114,70000.0,672,Debt Consolidation,RENT,MA,Office,2018,4,0
18000,60,0.1689,72500.0,692,Debt Consolidation,RENT,MD,Office,2019,0,1
11150,36,0.2408,86432.0,672,Debt Consolidation,RENT,CA,Office,2019,12,0
8400,36,0.1798,55000.0,672,Debt Consolidation,RENT,GA,Construction/Labor,2019,2,0
8075,36,0.2659,26000.0,677,Debt Consolidation,RENT,CA,Others,2019,0,0
17000,60,0.1442,68000.0,662,Debt Consolidation,OWN,AL,Legal/Government/Police,2019,2,0
7000,36,13.32,85000.0,645,debt_consolidation,rent,MD,,2018,< 1 year,0
35000,36,0.1886,185000.0,667,Debt Consolidation,RENT,SC,Others,2020,0,1
6000,36,0.0884,55000.0,667,Debt Consolidation,RENT,AR,Others,2019,4,0
20000,60,0.1538,114000.0,687,Debt Consolidation,MORTGAGE,PA,Legal/Government/Police,2019,10,1
15000,60,0.2652,72000.0,682,Debt Consolidation,MORTGAGE,LA,Sales,2019,10,1
12000,60,0.1664,108000.0,662,Debt Consolidation,RENT,VA,Health care,2018,1,0
28000,36,0.282,110000.0,662,Debt Consolidation,MORTGAGE,VA,Driver/Transportation,2019,12,0
8000,36,0.2855,120000.0,697,Debt Consolidation,OWN,MD,Unknown,2019,4,0
40000,36,0.1514,168000.0,712,Credit Card Refinancing,MORTGAGE,NY,IT/Engineering,2019,9,0
15000,36,0.2548,45302.0,687,Debt Consolidation,RENT,AR,Skilled Labor,2019,0,0
12000,36,0.2867,110000.0,682,Debt Consolidation,RENT,CA,Real Estate,2019,2,0
8400,36,0.1172,51000.0,712,Credit Card Refinancing,MORTGAGE,CO,Skilled Labor,2018,6,0
23000,36,0.2816,91000.0,667,Debt Consolidation,MORTGAGE,GA,Driver/Transportation,2019,14,1
19350,60,0.2799,140000.0,692,Debt Consolidation,MORTGAGE,TX,Office,2018,10,1
24000,36,0.1799,70000.0,702,Credit Card Refinancing,RENT,FL,IT/Engineering,2018,6,0
4000,36,0.10800000000000001,35000.0,662,Debt Consolidation,RENT,CT,Others,2019,7,1
35000,60,0.1225,190000.0,672,Home Improvement,MORTGAGE,MA,Education,2019,10,0
12050,60,0.3773,32000.0,707,Credit Card Refinancing,RENT,OH,Office,2019,26,0
16000,36,0.1905,97000.0,692,Debt Consolidation,MORTGAGE,PA,Others,2019,7,0
20000,36,0.1017,70000.0,677,Other,RENT,CA,Food/Hospitality,2019,2,1
19700,36,0.3877,72000.0,672,Debt Consolidation,RENT,FL,IT/Engineering,2019,5,1
10000,36,0.3031,90000.0,672,Other,MORTGAGE,UT,Skilled Labor,2019,1,0
30000,60,0.3589,125000.0,692,Debt Consolidation,MORTGAGE,TX,Others,2018,10,0
8000,36,0.1076,60000.0,672,Debt Consolidation,RENT,OH,Unknown,2019,2,0
30375,60,17.5,207000.0,650,credit_card,mortgage,FL,Others,2018,1 year,0
22400,36,0.1425,53000.0,752,Home Improvement,MORTGAGE,MN,Office,2019,7,1
8000,36,0.3871,62000.0,672,Debt Consolidation,RENT,TX,Office,2019,0,0
15000,60,0.2948,30000.0,732,Debt Consolidation,RENT,MI,Skilled Labor,2019,1,1
25000,60,0.0913,120000.0,687,Credit Card Refinancing,MORTGAGE,MI,Sales,2019,3,0
20000,60,0.2501,95000.0,712,Medical Expenses,RENT,CT,Others,2019,11,1
10000,60,0.2141,175000.0,682,Business,MORTGAGE,NY,Others,2018,4,0
25000,60,0.2026,100000.0,672,Credit Card Refinancing,MORTGAGE,CA,Office,2019,1,0
31900,60,0.20800000000000002,115000.0,757,Debt Consolidation,MORTGAGE,TX,Sales,2019,1,0
25000,36,0.0581,140000.0,692,Credit Card Refinancing,RENT,CA,Others,2018,4,1
20000,60,0.0934,60000.0,692,Debt Consolidation,MORTGAGE,NC,Driver/Transportation,2019,6,1
15950,36,0.2563,75000.0,707,Credit Card Refinancing,OWN,NY,Health care,2019,10,1
22325,60,0.2098,89000.0,662,Debt Consolidation,RENT,OH,,2019,,0
25000,36,0.3597,150000.0,722,Other Major Purchase,MORTGAGE,LA,,2019,< 1 year,1
40000,60,0.1353,155000.0,702,Debt Consolidation,MORTGAGE,NJ,Office,2019,10,0
40000,60,17.7,140000.0,690,debt_consolidation,mortgage,TX,Small Business,2018,10+ years,0
30000,36,0.2705,65000.0,747,Debt Consolidation,RENT,FL,Small Business,2019,2,0
20000,36,0.1711,73792.0,667,Other,MORTGAGE,CA,Food/Hospitality,2019,10,0
3000,36,0.1602,35000.0,677,Debt Consolidation,OWN,WA,,2019,,0
10675,36,0.373,44313.0,677,Credit Card Refinancing,MORTGAGE,FL,Legal/Government/Police,2020,30,0
25000,36,19.71,78500.0,680,credit_card,own,KY,,2019,,0
25000,36,0.3272,75000.0,692,Debt Consolidation,OWN,LA,Others,2020,0,0
40000,36,0.2829,97000.0,672,Debt Consolidation,RENT,TX,Others,2019,5,0
28000,60,25.4,110000.0,710,credit_card,mortgage,SC,Education,2020,2 years,0
12000,60,0.2682,40000.0,667,Debt Consolidation,RENT,CA,Construction/Labor,2019,6,0
20000,60,0.1966,115000.0,672,Credit Card Refinancing,RENT,PA,Unknown,2019,14,0
11000,36,7.34,75000.0,665,medical,rent,MD,Office,2019,3 years,0
16000,36,0.1138,115000.0,682,Debt Consolidation,RENT,CA,IT/Engineering,2019,12,0
30000,36,0.1553,80000.0,687,Debt Consolidation,RENT,TX,Skilled Labor,2019,4,1
10000,60,0.0783,70000.0,662,Other,RENT,FL,Skilled Labor,2019,9,0
3600,36,0.3228,25000.0,692,Home Purchase,MORTGAGE,FL,Customer Service,2019,6,0
10000,36,0.2172,40000.0,687,Credit Card Refinancing,MORTGAGE,PA,Others,2019,1,0
7500,36,0.0849,28000.0,662,Debt Consolidation,RENT,IL,Skilled Labor,2019,16,0
11200,60,0.1779,45000.0,692,Credit Card Refinancing,MORTGAGE,OH,Legal/Government/Police,2019,5,0
10000,60,0.1538,70000.0,682,Debt Consolidation,RENT,NV,Skilled Labor,2019,2,0
7500,36,0.1774,96000.0,682,Credit Card Refinancing,RENT,AZ,Office,2019,0,0
31375,60,0.3247,133000.0,667,Debt Consolidation,MORTGAGE,NC,Health care,2019,6,0
23350,36,0.2562,101500.0,747,Debt Consolidation,RENT,NH,Others,2019,0,0
30000,36,0.1758,175000.0,712,Debt Consolidation,MORTGAGE,FL,Office,2019,2,0
10000,36,0.1767,65000.0,672,Debt Consolidation,MORTGAGE,KS,Office,2019,6,0
22500,36,0.2783,306000.0,662,Debt Consolidation,MORTGAGE,OK,Others,2020,10,0
19200,60,0.2585,101512.0,702,Debt Consolidation,MORTGAGE,TX,Skilled Labor,2018,2,0
15000,36,0.2542,33276.0,702,Debt Consolidation,RENT,CA,,2019,,0
21275,60,0.1749,75000.0,677,Credit Card Refinancing,RENT,CA,Unknown,2019,2,1
10000,36,0.0902,35000.0,662,Credit Card Refinancing,OWN,FL,Food/Hospitality,2018,5,0
20000,36,0.1458,108000.0,687,Credit Card Refinancing,MORTGAGE,TX,Others,2018,8,0
35000,60,12.98,183000.0,795,debt_consolidation,mortgage,VA,,2020,< 1 year,0
16000,36,0.2444,63580.0,737,Debt Consolidation,MORTGAGE,RI,Office,2018,3,0
26575,60,0.2453,140000.0,672,Debt Consolidation,MORTGAGE,IL,Sales,2020,8,0
7425,36,0.0752,80000.0,697,Debt Consolidation,RENT,CA,Skilled Labor,2019,10,0
36000,60,21.64,36000.0,650,debt_consolidation,mortgage,TX,Health care,2020,5 years,0
30000,36,0.2619,119000.0,672,Debt Consolidation,MORTGAGE,TX,Others,2019,0,0
32000,60,0.2218,75000.0,677,Debt Consolidation,RENT,WA,Health care,2019,10,0
40000,36,0.1063,130000.0,732,Debt Consolidation,MORTGAGE,CA,Sales,2019,30,0
20000,60,0.193,107640.0,737,Debt Consolidation,MORTGAGE,WI,Customer Service,2019,0,0
40000,60,26.64,125000.0,750,home_improvement,mortgage,TX,Office,2020,< 1 year,0
23000,36,0.3533,145000.0,697,Debt Consolidation,MORTGAGE,NV,Others,2020,3,0
30000,36,0.2694,160000.0,667,Debt Consolidation,OWN,NC,Legal/Government/Police,2019,7,1
12000,60,0.1253,100000.0,662,Other Major Purchase,RENT,CA,Small Business,2019,10,0
15000,36,0.1731,40000.0,702,Debt Consolidation,RENT,MO,,2019,< 1 year,1
35000,60,0.1944,60000.0,722,Debt Consolidation,RENT,CT,Office,2019,10,0
16000,36,11.91,139000.0,680,debt_consolidation,rent,CA,Sales,2019,10+ years,0
30000,60,10.37,200000.0,670,credit_card,mortgage,NM,Real Estate,2020,3 years,0
10625,60,0.2985,109000.0,712,Debt Consolidation,RENT,MD,Office,2019,31,0
16825,36,0.2222,60000.0,772,Debt Consolidation,RENT,WI,Office,2019,4,0
3500,36,0.1155,50000.0,727,Credit Card Refinancing,RENT,FL,,2018,,0
30000,36,0.2902,61000.0,732,Debt Consolidation,RENT,VA,Office,2018,1,0
14000,60,0.1784,90000.0,677,Credit Card Refinancing,OWN,MS,Others,2019,10,0
10000,60,0.68,44000.0,715,home_improvement,mortgage,UT,,2019,,0
17550,36,0.2566,74000.0,692,Debt Consolidation,RENT,HI,Others,2019,10,1
8700,36,0.1438,55000.0,667,Credit Card Refinancing,RENT,CA,Food/Hospitality,2020,5,0
30000,36,0.061,50000.0,662,Home Improvement,MORTGAGE,VT,,2018,,1
40000,36,0.2044,125132.0,662,Debt Consolidation,MORTGAGE,TX,IT/Engineering,2019,5,0
2500,36,0.1426,67000.0,667,Home Purchase,OWN,TX,,2019,,0
16000,36,0.2777,50000.0,677,Credit Card Refinancing,RENT,CA,Small Business,2019,7,0
10000,36,0.1315,76000.0,702,Credit Card Refinancing,MORTGAGE,KY,Others,2018,3,0
5000,36,0.0736,52000.0,672,Debt Consolidation,RENT,TX,Food/Hospitality,2018,7,0
10625,36,0.2964,30000.0,742,Home Improvement,OWN,CA,,2019,,0
21000,60,0.3246,61000.0,722,Debt Consolidation,MORTGAGE,NE,,2018,,0
20000,36,0.1633,105000.0,727,Other,RENT,TX,Health care,2019,10,0
10000,36,13.48,89000.0,650,debt_consolidation,own,CA,,2018,< 1 year,0
15000,36,0.2054,77087.0,687,Credit Card Refinancing,RENT,TX,Real Estate,2018,8,0
12000,36,0.1542,40000.0,687,Credit Card Refinancing,RENT,NY,Skilled Labor,2020,2,0
6000,36,0.0759,40000.0,677,Credit Card Refinancing,RENT,NY,Office,2018,3,0
16000,36,0.2608,165000.0,672,Debt Consolidation,RENT,CA,Others,2019,0,0
10000,36,0.2821,35000.0,697,Debt Consolidation,OWN,PA,Office,2018,5,0
30000,36,31.26,65000.0,750,debt_consolidation,rent,OR,Construction/Labor,2018,10+ years,0
25275,60,0.233,142900.0,767,Debt Consolidation,MORTGAGE,NM,Others,2019,13,0
40000,36,0.2274,166250.0,747,Business,RENT,VA,Others,2019,7,1
5000,36,7.61,130000.0,705,house,mortgage,FL,,2019,,0
39000,36,0.2066,195000.0,717,Debt Consolidation,MORTGAGE,CO,Office,2018,3,0
20000,60,0.2205,113559.0,717,Debt Consolidation,MORTGAGE,TX,Legal/Government/Police,2019,6,0
25525,60,15.03,165000.0,750,debt_consolidation,rent,CA,Office,2019,2 years,0
2000,36,21.72,30000.0,645,credit_card,rent,FL,Health care,2019,< 1 year,0
10000,36,0.1684,170000.0,667,Other,RENT,AZ,Office,2019,10,0
20000,36,8.92,153230.0,590,home_improvement,mortgage,TX,,2019,,0
13000,60,0.1969,120000.0,677,Debt Consolidation,MORTGAGE,LA,,2019,< 1 year,0
21275,60,0.1199,120000.0,662,Debt Consolidation,RENT,OH,Others,2019,3,0
20000,60,0.1079,180000.0,667,Debt Consolidation,MORTGAGE,IL,Sales,2019,1,0
20000,36,0.1619,101447.0,712,Credit Card Refinancing,MORTGAGE,MD,Others,2019,4,0
30000,60,0.1953,155000.0,697,Debt Consolidation,RENT,FL,Office,2019,7,1
11700,36,0.304,58000.0,677,Debt Consolidation,MORTGAGE,MD,Skilled Labor,2019,3,0
35000,36,0.1348,160000.0,682,Other,OWN,NC,,2019,< 1 year,0
5100,36,0.1424,75000.0,662,Credit Card Refinancing,RENT,MD,Unknown,2019,10,0
30000,60,2.42,80000.0,690,debt_consolidation,rent,CA,Office,2018,2 years,0
30000,60,0.1829,168000.0,662,Debt Consolidation,RENT,AZ,Others,2019,10,1
25000,36,0.3794,119800.0,702,Credit Card Refinancing,OWN,VA,Legal/Government/Police,2018,10,0
40000,36,0.1563,120000.0,762,Debt Consolidation,RENT,CA,Office,2019,0,0
14400,60,0.131,62000.0,707,Credit Card Refinancing,MORTGAGE,FL,Food/Hospitality,2019,10,1
16000,60,0.1614,40000.0,692,Other,OWN,WV,Office,2020,2,0
10000,60,0.2705,37000.0,727,Debt Consolidation,RENT,PA,Sales,2019,3,0
5000,36,0.07200000000000001,60000.0,672,Debt Consolidation,RENT,NY,Construction/Labor,2018,10,0
28000,60,35.31,75000.0,740,debt_consolidation,mortgage,MI,Small Business,2018,3 years,0
20000,60,0.2465,65000.0,707,Debt Consolidation,OWN,TX,Office,2019,5,0
6375,36,23.3,75000.0,645,home_improvement,own,NJ,Small Business,2019,9 years,0
10000,60,0.2069,62000.0,697,Debt Consolidation,MORTGAGE,SC,Others,2019,10,0
8250,36,0.385,36000.0,667,Debt Consolidation,RENT,CA,Health care,2020,5,0
